id,title,description,author,publication,isbn,pages,image
273,Nettoyez votre énergie,"Ressources et sens

Révélez votre potentiel, tout est déjà en vous
Tout comme on prend une douche le matin et qu'on s'habille chaudement pour se protéger du froid, il est indispensable de procéder à un nettoyage énergétique régulier afin de se purifier et de se protéger des énergies toxiques. Dans cet ouvrage qui fourmille de conseils pratiques, Lila Rhiyourhi nous aide à prendre conscience de l'importance des énergies qui nous entourent et de leur influence sur nous.
Lila nous livre tous ses secrets et propose l'ensemble des techniques les plus puissantes pour préserver notre énergie vitale et rayonner :


Purification et protection énergétique pour se libérer des négativités.

Rituels pour se protéger soi-même et ceux qui nous entourent.

Prières pour dépasser les blocages et maintenir des vibrations pures.

Nettoyage des lieux de vie pour entretenir de bonnes et pures énergies.
Des témoignages forts viennent illustrer ces bonnes pratiques. En appliquant ces protocoles, peu à peu, vous vous sentez moins fatigué, plus vivant, de belles expériences s'offrent à vous.",Lila Rhiyourhi,26 févr. 2019,9791028513283,239,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAyODUxMzI4My83YjhhM2ZjZTAxNjUwNjMxN2ZlZmM4YjQyODZlYjIxYjlmMWNiMmI3LmpwZWc=/7b8a3fce016506317fefc8b4286eb21b9f1cb2b7-250-375.jpeg?v=1&w=250&h=375&resize=fit
274,J'arrête d'être mal dans mon couple !,"21 jours pour sauver l'amour !
Les couples heureux et durables existent ! Comment construire un couple à la fois mature et joyeux, profond et léger, engagé et libre, sécurisant et passionné ? Marie-France et Emmanuel Ballet de Coquereaumont, en couple depuis 26 ans, prouvent que l'amour peut durer, pour peu qu'on entretienne la flamme et qu'on prenne le temps de s'interroger sur le lien qui nous unit à l'autre. D'une même voix, ils vous proposent un programme efficace pour cultiver l'amour et faire grandir la relation, avec :
des exercices et des tests pour retrouver la passion
des débuts,
des exemples pour mieux comprendre vos difficultés relationnelles,
des outils pour en finir avec la routine,
des témoignages évocateurs où chacun peut se reconnaître.
Cet ouvrage profond et stimulant vous aidera à construire avec votre partenaire une relation heureuse et épanouie.",Emmanuel Ballet de Coquereaumont,1 sept. 2016,9782212561395,219,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIxMjU2MTM5NS9iZTk3MDE0ZTFhNmJlYzQxZTU4NzdjYmExMzczOGYzZTU4MTVkYzk5LmpwZWc=/be97014e1a6bec41e5877cba13738f3e5815dc99-250-375.jpeg?v=1&w=250&h=375&resize=fit
282,L'élément humain,"L'Élément humain

Comprendre le lien entre estime de soi, confiance et performance
J'ai écrit ce livre pour des personnes désirant améliorer la conscience de soi et l'estime de soi : les dirigeants, les leaders et les cadres ; les équipes autodirigées ; les professionnels des relations d'aide et d'accompagnement ; les parents, maris, femmes, conjoints ; chacun d'entre nous dans sa sphère privée ou professionnelle.Cette approche peut vous aider à mieux vous connaître et à renforcer votre estime de soi et donc modifier la qualité de la plupart de vos relations.William Schutz, extrait de l'Introduction",William C. Schutz,15 févr. 2023,9782729623395,288,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjcyOTYyMzM5NS9kZDA0ZTQ0NzZkNTJmNzdiMTllNWMyZDUzM2IzMjQ5OWQwOGY4MzExLmpwZWc=/dd04e4476d52f77b19e5c2d533b32499d08f8311-250-375.jpeg?v=1&w=250&h=375&resize=fit
275,Emotions : Quand c'est plus fort que moi,"Ah ! Qu'il serait doux de parvenir à canaliser les émotions quand elles débordent. Fausse bonne idée ! L'émotion est un
signal d'alarme, qu'il vaut mieux apprivoiser plutôt que de tenter désespérément d'éviter ou de contrôler. Ce livre vous invite à adopter des comportements plus respectueux de vous-même pour parvenir enfin à l'apaisement.
Un livre indispensable et bienveillant pour faire de son émotivité une force
Dans ce livre, les réponses à toutes vos questions :

Qu'est-ce qu'une émotion ? Quelles sont ses causes ? Ses conséquences biologiques, psychologiques ?
Peut-on canaliser sa peur, sa colère, sa tristesse ?
Comment faire la paix avec ce qui se passe en soi ?
Que faire en cas de tsunami émotionnel ?",Catherine Aimelet-Périssol,9 avr. 2019,9791028514563,187,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAyODUxNDU2My85OTQzYTcyOGE2M2I4OTE5ZjRhYjNkNmQ5MThhMzZiZmY1Zjk4MGJjLmpwZWc=/9943a728a63b8919f4ab3d6d918a36bff5f980bc-250-375.jpeg?v=1&w=250&h=375&resize=fit
276,L'éveil des sens,"Jon Kabat-Zinn est l'inventeur d'une méditation
 accessible à tous : la «méditation en pleine
 conscience». Grâce à lui, depuis trente ans, plus
 de 250 hôpitaux et cliniques à travers le monde
 l'utilisent comme outil de soin. Son efficacité est
 scientifiquement reconnue. Dans ce livre complet,
 nous apprenons comment appliquer sa méthode :
 éveiller nos sens pour se reconnecter avec soi et
 s'ouvrir à l'instant présent, être moins stressé ou
 angoissé, redécouvrir la capacité de notre esprit à
 se transformer. Un livre unique pour apprendre
 à remplacer l'agitation par le calme, la haine par
 la bienveillance, le mal-être par le bien-être.",Jon Kabat-Zinn,19 mai 2011,9782266203081,571,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIwMzA4MS9iNmE0NDUwZWFmYjBkYjBkN2ZkMTgyNzA4ZjA1ZDI3Y2YxYmFmMjk0LmpwZWc=/b6a4450eafb0db0d7fd182708f05d27cf1baf294-250-375.jpeg?v=1&w=250&h=375&resize=fit
277,Quiétude (Le silence apprivoisé),"L’auteur nous propose des enseignements pratiques sur divers sujets comme “Le calme et le silence”, “Au-delà du mental”, “Les relations”. Il nous montre comment vivre une relation qui peut tout intégrer et surmonter, où trouver la sagesse, de quelle manière se libérer de la culpabilité et comment maîtriser le mental éparpillé. Broché 13 x 18,5 - 110 pages - Illustrations N&B",Eckhart Tolle,3 sept. 2003,9782920987746,107,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjkyMDk4Nzc0Ni9mNTdjOTY1NzNkMjc4MTUzYzVjOTU2YzgyZDBlNjk1ODY0MGFiZWUwLmpwZWc=/f57c96573d278153c5c956c82d0e6958640abee0-250-375.jpeg?v=1&w=250&h=375&resize=fit
278,Manuel de Communication NonViolente,"Le best-seller international de Marshall Rosenberg, Les mots sont
 des fenêtres (ou bien ce sont des murs), a révélé le pouvoir d'une
 relation différente et novatrice avec les autres. Cette nouvelle forme
 de communication de qualité, compréhensive, respectueuse et
 authentique possède un potentiel immense de transformation positive
 et de renouveau avec sa famille, ses amis, ses collègues, ses
 étudiants, ses formateurs, et même avec soi-même.Cet ouvrage est le manuel d'accompagnement du livre de
 Marshall Rosenberg, pour mieux comprendre et appliquer ses
 outils, mentalement, en paroles et en actions. Il propose au lecteur
 des exercices pratiques pour chaque chapitre des Mots sont des
 fenêtres (ou bien ce sont des murs) et fournit des aides précieuses
 pour appliquer la Communication NonViolente dans sa vie :
 faire face à la colère, résoudre les conflits, améliorer ses relations
 aux autres et les vivre dans un esprit plus compassionnel. Il peut
 être utilisé individuellement ou lors de travaux de groupes ou de
 séminaires.Cette 2e édition est enrichie d'un nouveau chapitre sur la médiation
 et la résolution des conflits.
Rejoignez les centaines de milliers de personnes qui, à
 travers le monde, ont transformé leur vie par ce processus
 simple mais révolutionnaire !",Lucy Leu,28 avr. 2016,9782707188809,232,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjcwNzE4ODgwOS8zYTA0YjFmZTIxY2IxZDRiOGVkOGZiYmViMjc4YTdjMTdjOTIyN2IzLmpwZWc=/3a04b1fe21cb1d4b8ed8fbbeb278a7c17c9227b3-250-375.jpeg?v=1&w=250&h=375&resize=fit
279,"Toujours plus, + = +","« Je vous jure, il est bien, achetez-le ! »
Parce que, depuis le lycée, Lena est une adepte du développement personnel, elle a souhaité faire de ce livre un guide pratique à destination des jeunes pour dire NON à la déprime, à la morosité et à la spirale du négatif ; OUI au positif, à la joie, à l'acceptation de soi et à la réussite. Un manuel pratique et militant, de bonne humeur et d'esprit positif, qu'elle résume elle-même sous cette formule : + = +","SITUATIONS, LENA",24 sept. 2020,9782221247884,149,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIyMTI0Nzg4NC81M2JmZDE4ODE4ZmY4MjM5ZDUxMDE3ODYwODQwNmIzNGVhMTVlZDVkLmpwZWc=/53bfd18818ff8239d510178608406b34ea15ed5d-250-375.jpeg?v=1&w=250&h=375&resize=fit
280,Notre façon d'être adulte fait-elle sens et envie pour les jeunes ?,"Est-ce qu'en nous voyant vivre, les jeunes se disent: «C'est super d'être adulte, j'attends cela impatiemment!»? Ne sont-ils pas nombreux à penser plutôt: «Ils sont malades de courir tout le temps comme cela!»?Que vous ayez ou non des enfants, que vous leur consacriez toute votre vie ou une partie comme parent ou enseignant, qu'ils vous indiffèrent ou même vous agacent, vous avez été vous-même un enfant un jour et la question que pose ce livre pourrait, rien qu'à ce titre, vous intéresser. Le sens et l'envie sont les moteurs de notre joie de vivre et de notre façon d'être ensemble. Lorsque nous apprenons à joindre les deux, nous sommes habités d'une belle énergie, à la fois douce et puissante, qui peut soulever les montagnes.Et cela nous permet de transformer les anciens systèmes de pensée - basés notamment sur les rapports de force, de méfiance et de division - et d'incarner aux yeux des jeunes les valeurs de collaboration, d'entraide, d'empathie, de confiance et de responsabilité que nous souhaitons leur transmettre afin de les inspirer à devenir à leur tour des adultes inspirants.Mais comment concilier sens et envie? Avec humour et bienveillance, Thomas d'Ansembourg nous invite à entreprendre ce chantier, véritable enjeu de société en ce moment où nous avons tant besoin d'apprendre de nouvelles façons d'être ensemble. Son livre s'adresse à toute personne qui chérit la qualité des liens qui l'unissent au monde et cherche à vivre sa propre vie de façon profonde, féconde et fluide.",Thomas D'Ansembourg,1 Oct. 2020,9782761956406,256,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc2MTk1NjQwNi8yMmJkYWQyN2ZlYjM1YzhiMWVhYjNlMTc3YzExOTUwNjk3YjA1MTM0LmpwZWc=/22bdad27feb35c8b1eab3e177c11950697b05134-250-375.jpeg?v=1&w=250&h=375&resize=fit
283,Petit Livre de - La psychologie positive,"Découvrez les bienfaits de la psychologie positive !
La psychologie positive, cette science du bien-être, vous offre des clés pour mettre plus de plaisir et de sens dans votre existence. De nombreuses facettes de notre quotidien renferment des secrets ; il suffit simplement de connaître les sentiers à emprunter pour pouvoir y accéder.Ce Petit Livre de la psychologie positive vous propose d'accéder au meilleur de vous-même, afin de construire un bonheur authentique et durable. Tests, exercices, histoires zen, méditations, conseils pratiques : laissez-vous guider pour explorer le miracle de la vie et savourer l'instant présent !",Françoise Dorn,24 mai 2017,9782412025697,160,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjQxMjAyNTY5Ny83Y2JlNTViNjZlMzJjMjg3NDcyN2Q3MzE4MTg2ZjAwZjFiNWEwOGM4LmpwZWc=/7cbe55b66e32c2874727d7318186f00f1b5a08c8-250-375.jpeg?v=1&w=250&h=375&resize=fit
284,La Boîte à bonbons,"Que se passe-t-il quand quelque chose de miraculeux se produit dans notre vie ? Est-on capable de le reconnaître ? De l'apprécier ? Est-ce qu'on le voit pour ce qu'il est réellement ?Voici l'histoire d'une enfant et d'une étonnante boîte à bonbons. Une boîte qui se révèle tantôt excitante, tantôt terriblement frustrante. C'est une histoire qui parle du sens que l'on donne aux choses selon la manière dont on les regarde, et des pouvoirs magiques de la patience et de la gratitude.",Kobi Yamada,24 janv. 2024,9782017196129,36,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjAxNzE5NjEyOS81YTFlZmZiMTIyOTI1YzViNDUwMmUwYjRkYmMxYTQ5ZDc1MTVmOWJkLmpwZWc=/5a1effb122925c5b4502e0b4dbc1a49d7515f9bd-250-375.jpeg?v=1&w=250&h=375&resize=fit
285,Le Petit Livre de la loi de l'attraction,"Amour, réussite professionnelle, santé, prospérité : est-il possible d'attirer à soi toutes les bonnes choses que l'on souhaite ? C'est ce qu'affirme la loi de l'attraction.
Cette règle de vie part du principe que tout dans l'univers est constitué d'énergie et émet une fréquence, y compris nos attitudes et nos pensées, dont la vibration aurait la capacité d'agir sur notre environnement.Ce petit livre vous donne toutes les clés pour mettre en pratique la loi de l'attraction. Grâce à la magie de votre pensée, apprenez à être créateur de votre propre bonheur et profitez d'une vie plus lumineuse !",Slavica Bogdanov,11 Oct. 2018,9782412039137,154,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjQxMjAzOTEzNy8yMWMwNjczZjA5OWQ2NWJiMDk4MDBlMzkwZjZjYzU2ZmZkZjVjYTgwLmpwZWc=/21c0673f099d65bb09800e390f6cc56ffdf5ca80-250-375.jpeg?v=1&w=250&h=375&resize=fit
286,La bienveillance est une arme absolue,"La bienveillance est une arme absolue


Découvrez les superpouvoirs de la bienveillance


« La bienveillance est le contraire de la mièvrerie : c'est une arme de choc, une arme de joie, une arme absolue. »Utiliser cette arme pour contrer les difficultés de la vie, la souffrance, l'injustice, les guerres ?En s'appuyant sur des exemples personnels et des preuves scientifiques, Didier van Cauwelaert nous montre qu'il est possible de tout changer : notre rapport aux autres, à nous- même et à l'Univers, grâce à la bienveillance - comme le font les animaux, les plantes et même les bactéries...Et c'est un enjeu crucial pour l'avenir de l'humanité.",Didier Van Cauwelaert,20 janv. 2021,9782290236185,285,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI5MDIzNjE4NS82YWY2ZTNjY2M4ZDY2YTQ4Mjc0MDcxYTRkYjU4NmFjMjhkMmJhMzhiLmpwZWc=/6af6e3ccc8d66a48274071a4db586ac28d2ba38b-250-375.jpeg?v=1&w=250&h=375&resize=fit
287,Indomptée,"Le jour où elle croise le regard de celle qui deviendra sa femme, la vie de Glennon Doyle bascule pour toujours. Cet instant suspendu et inattendu fait voler en éclats les codes établis et elle prend alors conscience qu'elle a étouffé ses désirs pour se conformer aux diktats de la société.Émouvant et drôle, percutant et tendre, Indomptée est un témoignage intime et un électrochoc galvanisant : l'histoire d'une femme qui découvre qu'une mère responsable n'est pas celle qui s'oublie pour ses enfants, mais une femme qui leur montre comment vivre pleinement.C'est aussi l'histoire de chacune et chacun d'entre nous, lorsque nous commençons à croire en nous, poser nos limites, honorer notre colère et devenir audacieux-ses et indompté.e.s !

Une envie contagieuse d'être soi-même !",Glennon Doyle,23 févr. 2021,9791028520120,319,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAyODUyMDEyMC84MzFjYjAzNDgyMGI0MGY4YzdmY2NkZjIxNDM3ZDBmN2IwZTc0MGU5LmpwZWc=/831cb034820b40f8c7fccdf21437d0f7b0e740e9-250-375.jpeg?v=1&w=250&h=375&resize=fit
288,Ma petite organisation,"Un guide pratique pour être  au top de l’organisation 
Vous vous laissez souvent submerger ? Vous avez de nombreux projets en tête, mais vous n’arrivez pas à les mener à bien ? Vous angoissez face à la montagne de tâches domestiques qui vous attendent ? Ma petite organisation est là pour vous aider !
Entrepreneuse et mère de quatre enfants, Sixtine Thomas-Richard a accumulé au fil des ans mille et une astuces pour se faciliter le quotidien. Très suivie sur Instagram – plus de 100 000 followers à ce jour – elle nous livre ici tous les secrets d’une organisation sans faille : comment maîtriser son temps, gérer son budget, ne pas se laisser envahir par l’administratif, mais aussi rendre les enfants plus autonomes, trouver un équilibre dans le partage des tâches au sein du couple, préparer sereinement des vacances ou un déménagement, aménager et entretenir sa maison…Avec plein de bon sens, un soupçon d’imagination et beaucoup de bienveillance, Sixtine vous accompagne jusqu’à ce que vous trouviez l’organisation qui vous correspond !
À propos de l’autrice
Graphiste de formation, Sixtine Thomas-Richard  a fondé son entreprise en 2008, puis s’est lancée dans la grande aventure Instagram sous le pseudo @mapetiteorganisation. Elle est la créatrice de Mon Petit Organisateur de Vie, un agenda pratique regroupant organisation personnelle, professionnelle et familiale sur un seul support, qu’elle diffuse chaque année à plusieurs milliers d’exemplaires. Elle s’appuie, pour délivrer ses conseils, à la fois sur son expérience et sur de nombreuses heures de lecture et de formation au home management.",Sixtine Thomas-Richard,4 janv. 2023,9791033911968,287,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAzMzkxMTk2OC83ZWQxYTE0ODhkZjRiMjZlNDE1NjA0MWE5YjZkZGE0YmMwZGE4MzRkLmpwZWc=/7ed1a1488df4b26e4156041a9b6dda4bc0da834d-250-375.jpeg?v=1&w=250&h=375&resize=fit
308,"Contes à aimer, contes à s'aimer","Contes à aimer

Contes à s'aimer

Les contes, nous le savons maintenant, nous aident à guérir. Ils permettent de nommer l'indicible, de dénouer les contradictions, de réparer les blessures de notre histoire présente et passée. Ils nous aident à grandir, à croître et à nous harmoniser.Ils favorisent à l'intérieur de nous la réconciliation entre différents états de notre condition humaine, le psychisme, le corps et l'esprit qui parfois se révèlent antagonistes et contradictoires.Ils contiennent des mots qui nous enveloppent, nous caressent et nous serrent dans une amicale clarté ; ils nous proposent des associations qui nous illuminent dans une limpide atmosphère et nous déposent, plus apaisés, aux confins de l'imaginaire et du réel.",Jacques Salomé,7 janv. 2009,9782253085065,413,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI1MzA4NTA2NS9kY2E5NzNhM2JiMzdiODE2OWRjNjEyYTEwY2Q1YjU4MmEyMWRlMTAxLmpwZWc=/dca973a3bb37b8169dc612a10cd5b582a21de101-250-375.jpeg?v=1&w=250&h=375&resize=fit
289,"Le nouveau journal créatif - A la rencontre de soi par l'écriture, le dessin et le collage","Votre quotidien manque-t-il de sens? Fortement axée sur ce qui est extérieur, notre société favorise une déconnexion de notre vie intérieure. Or, pour être en phase avec nous-mêmes, pour entendre nos appels et nos réponses, c'est bien vers l'intérieur que nous devons diriger notre regard. C'est précisément ce que fait la méthode du Journal Créatif®: à l'aide de trois langages - l'écriture, le dessin et le collage - elle nous amène à entrer en relation avec l'inconscient et à nous reconnecter à nous-mêmes et à notre créativité. Cet outil unique, accessible à tous indépendamment du «talent» artistique, facilite les prises de conscience et de décisions, enclenchant du même coup une reprise de pouvoir sur notre vie. Dans cette nouvelle édition complète et mise à jour, vous trouverez toutes les techniques du Journal Créatif®, de nombreux exercices adaptés aux différentes situations de vie ainsi que l'ensemble de la théorie utile, afin que votre pratique soit la plus éclairante, inspirante et apaisante possible.",Anne-Marie Jobin,18 juin 2020,9782761954822,320,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc2MTk1NDgyMi8wNzE1YjcyMmI3MDBkYWQ1ZWY0MTI5ODNjN2Q3MjkxMDllMzBkZGEwLmpwZWc=/0715b722b700dad5ef412983c7d729109e30dda0-250-375.jpeg?v=1&w=250&h=375&resize=fit
290,Apprendre à être heureux,"Le célèbre professeur présente ici l'essentiel de son enseignement pour trouver le bonheur et accéder à une vie plus harmonieuse. Une méthode originale qui a changé la vie de millions de gens en initiant une nouvelle approche de la psychologie à travers des exercices ludiques, surprenants et bienfaisants, Le premier guide pratique de la psychologie positive mise à la portée de tous.Également chez Pocket : L'apprentissage du bonheur et L'apprentissage de l'imperfection.",Tal Ben-Shahar,21 juin 2012,9782266221337,238,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIyMTMzNy9jNjQ4ZTZhZTY2YmY5NTE2YTcyYjM1NTMyNTFjYjZkMTljZjdmODliLmpwZWc=/c648e6ae66bf9516a72b3553251cb6d19cf7f89b-250-375.jpeg?v=1&w=250&h=375&resize=fit
291,La Vie est une célébration,"Aimer et servir, encore et toujours
Avec Amma, le quotidien est vécu comme une fête, un lieu de transformation, d'action et de don de soi. Renouant avec l'énergie de Tout est en vous, livre qui a participé à la diffusion de son enseignement en France, elle délivre un message positif, en résonance avec les crises qui nous secouent. Elle nous invite à agir au jour le jour et à prendre la responsabilité de notre vie. Des journées internationales, porteuses des valeurs d'Amma - non-violence, paix, protection de l'enfance, droits des femmes, préservation de l'environnement... - rythment cette éphéméride. Un livre de spiritualité incarnée.",Mata Amritanandamayi,1 Oct. 2020,9782757879993,227,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc1Nzg3OTk5My9iOTY2OGU4OGQ2NTM3NjUxNmUxM2Q4YWM0MTM3N2M4MTg4MmVlZTQ1LmpwZWc=/b9668e88d65376516e13d8ac41377c81882eee45-250-375.jpeg?v=1&w=250&h=375&resize=fit
292,Pour en finir avec les crises d'angoisse,"Vous souffrez de crises de panique, de stress, de phobies, de troubles anxieux... ?

Vous aimeriez retrouver, en quelques semaines, une vie plus sereine et joyeuse ?

Ce livre de référence est fait pour vous !
Klaus Bernhardt, psychothérapeute, vous propose une méthode très éloignée des traitements qui attendent généralement les personnes anxieuses. Ici, pas d'exercices de respiration, de recherche d'antécédents dans l'enfance, d'antidépresseurs, ni de tranquillisants. Sa thérapie, radicalement différente, s'appuie sur les dernières découvertes scientifiques sur le cerveau et son fonctionnement.
Découvrez dans cet ouvrage :

les causes des crises d'angoisse ;
les signes annonciateurs des crises ;
des exercices et des techniques simples, rapides et efficaces pour stopper les peurs, fondés sur les dernières recherches en neurosciences, comme la méthode des 10 affirmations (un entraînement mental pour reprogrammer son cerveau) et la technique des 5 canaux sensoriels.",Klaus Bernhardt,21 août 2018,9782813218018,207,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIxODAxOC8zM2JlNDk3NjNlZWZkN2VjMGViMzRhNjkyMDUxYTQwNTVkNmQ0NmE4LmpwZWc=/33be49763eefd7ec0eb34a692051a4055d6d46a8-250-375.jpeg?v=1&w=250&h=375&resize=fit
293,Ne croyez pas tout ce que vous pensez,"Bien que la douleur soit inévitable, la souffrance est facultative.
Apprenez à surmonter l'anxiété, le doute et l'autosabotage sans avoir besoin de votre motivation ou de votre volonté.
Dans ce livre, vous découvrirez :

La cause profonde de toutes les souffrances psychologiques et émotionnelles et comment y mettre fin ;
Comment ne plus être affecté·e par les pensées et les sentiments négatifs ;
Comment faire l'expérience de l'amour inconditionnel, de la paix et de la joie dans le présent, quelles que soient les circonstances extérieures ;
Comment créer instantanément une nouvelle expérience de vie si vous n'aimez pas celle que vous vivez actuellement ;
Comment se libérer d'une boucle de pensées négatives ;
Comment se débarrasser de l'anxiété, du doute, de l'autosabotage et de toute habitude autodestructrice ;
Comment créer sans effort à partir d'un état d'abondance, de fluidité et de facilité ;
Comment développer le super-pouvoir d'accepter de ne pas savoir et d'être incertain·e ;
Comment accéder à votre intuition et à votre sagesse intérieure ;

Peu importe ce qui vous est arrivé, d'où vous venez ou ce que vous avez fait, vous pouvez toujours trouver la paix totale, l'amour inconditionnel, l'épanouissement complet et l'abondance.",Joseph Nguyen,10 janv. 2024,9782017241553,126,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjAxNzI0MTU1My83ZmVhY2QyNzlkM2IxNWE2Zjg0OGRlMWYzMDBkMjY0YzU1NDYzNDdiLmpwZWc=/7feacd279d3b15a6f848de1f300d264c5546347b-250-375.jpeg?v=1&w=250&h=375&resize=fit
295,50 exercices d'estime de soi,"Exercice n°00 : Ce livre est-il fait pour vous ?

Parmi les propositions ci-dessous, cochez celles qui vous correspondent.

Vous êtes plutôt du genre à accueillir les compliments avec méfiance.
Il vous en faut beaucoup pour être fier de vous.
Vous « imposer » devant des inconnus vous demande un réel effort.
Votre monde s'écroule à la moindre critique.
En général, vous préférez qu'on choisisse pour vous.
Vous vous sentez coupable pour un oui ou pour un non.
Plutôt mourir que de demander de l'aide.
Les discussions superficielles vous barbent.
Un jour sur deux vous vous trouvez simplement moche.
Les gens qui se font remarquer vous intimident terriblement.

Moins de 2 réponses : ce livre ne vous concerne pas.
2 à 5 réponses : lecture de ce livre vous sera probablement bénéfique. Elle vous permettra d'améliorer votre estime de soi et votre rapport aux autres.
6 à 10 réponses : ce livre est fait pour vous ! Vous ne vous appréciez pas à votre juste valeur et cela vous joue des tours. Ne perdez plus de temps et apprenez à travers ces 50 exercices à devenir pleinement vous-même.",Laurie Hawkes,11 Nov. 2021,9782416004513,141,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjQxNjAwNDUxMy83MWMyMWQyNDU4ZTBmZDNiZGQxMWNmYzIxNWQxMmVkMWUyMGFkY2EyLmpwZWc=/71c21d2458e0fd3bdd11cfc215d12ed1e20adca2-250-375.jpeg?v=1&w=250&h=375&resize=fit
296,Débranchez votre mental !,"Débranchez votre mental !


Trucs et astuces pour arrêter de ressasser et profiter de la vie

Comment sortir de la rumination, des pensées automatiques et obsessionnelles ? Comment rester calme et serein au quotidien ?Grâce à des techniques issues de la méthode ACT - thérapie de l'acceptation et de l'engagement -, apprenez à calmer votre esprit et retrouvez un sens à votre vie.Vous découvrirez aussi comment vous ancrer sans effort dans le moment présent en étant plus concentré et conscient, afin de diminuer la pollution intérieure de toutes vos charges mentales !",Sophie Le Guen,16 juin 2021,9782290224885,344,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI5MDIyNDg4NS84NDkwNWE4NmQxMjRmZDYzMTU2M2FmZjRjNTg5MjkzZGZkZmVhMTA5LmpwZWc=/84905a86d124fd631563aff4c589293dfdfea109-250-375.jpeg?v=1&w=250&h=375&resize=fit
297,Lâcher prise,Comment abandonner tout ce qui persiste à nous amener dans des relations et des événements malheureux. Comment nous détacher des pensées et des sentiments douloureux qui noient notre esprit dans de fausses et lassantes inquiétudes.,Guy Finley,27 févr. 2012,9782266229777,282,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIyOTc3Ny82OTg0ZTAzYWE2MTEwMTFlY2Q1YTQ3YzcyMzI1ZmFkNjllMzk4MjNmLmpwZWc=/6984e03aa611011ecd5a47c72325fad69e39823f-250-375.jpeg?v=1&w=250&h=375&resize=fit
